ID|google_asr_before_sep|amazon_asr_before_sep|ground_truth|google_asr_after_sep|amazon_asr_after_sep
mix1_original_1|the time that you get injured in your life to maybe once every 5 years 10 years it's going to something's going to happen I figure that's|The time that you get injured in your life to maybe once every five years, 10 years, it's gonna something's gonna happen I figure that's something to.|but time that you get injured in your life to maybe once every five years ten years it's gonna something is gonna happen i figured that's something|the time that you get injured in your life so maybe once every 5 years 10 years it's going to something's going to happen I figure that's|
mix1_original_2|Lee you've got this this kid and his friends sort of caught up in the world of a real-life vigilante Duo and the world of the mafia in his in his|You've got this this kid and his his friends sort of caught up in the world of a real life vigilante duo and the world of the mafia in in his his sis.|you've got this this kid and his his friend whose call up in the world of real live vigilante duo and the world of the mafia and his and his|Lee you've got this this kid and his friends will call up in the world a real life vigilante doer and the world of the mafia in receiving citizen|
mix2_original_1|Amy he has his he has so much energy and he's so confident and|I mean he has he's he has so much energy and he's so confident and grounded.|he has his he has so much energy and he is so confident and grounded|Amy he has his he has so much energy and he's so confident and|
mix2_original_2|is fair you know excitement you know it's it's many|Fear, you know, excitement, you know, it's it's many colors.|fear you know excitement ah you know it's many color|is there you know excitement it's many color|
mix3_original_1|the movie is so there are a bunch of detective because it somehow clouzot is|The movie so there are a bunch of detectives because somehow Clouseau is personally.|the movie so there are bunch of detective because somehow eh clouseau is persc|the movie is so there are a bunch of detective because it's somehow it includes 0 is|
mix3_original_2|Imperial Japanese police she's wanted by the resistance she has nowhere to go and so she makes a choice|Imperial Japanese police she's wanted by the resistance um she has nowhere to go and so she makes a choice.|ah imperial japanese police she is want it by the resistance uh she has nowhere to go and so she makes a choice|Imperial Japanese three she's wanted by the position she has nowhere to go I'm so she could make the choice was|
mix4_original_1|but she handled it beautifully we just sat there had fun talked about what we did see and the rain and I saw that poor producer later he|But she handled it beautifully, we just sat there and had fun and talked about what we did see and the Rain and I saw that poor producer later he was.|but she handle it beautifully we just we just sat there and have fun talk about what did see and the rain and I saw that core producer later|but she handled it beautifully we just sat there had once talked about what we did SLI and the rain and I saw for producer later|
mix4_original_2|and done the same job a job that he hated he's been married to a woman who hates him for 25 years and somehow by accident|And done the same job, a job that he hated, he's been married to a woman who hates him For 25 years and somehow by accident.|done the same job a job that he hate it he's been married to a woman that hates him for twenty five year and somehow by accident|done the same job with Joe 40 pages we've been married to a woman who Haiti after 25 minutes and then somehow by accident|
mix5_original_1|you know it's I don't really have much to draw from sometimes that's the thing with acting you have to just rely on your|You know, it's I don't really have much to draw from sometimes. That's the thing with acting, you have to just rely on your basic.|you know it's i dont really have much to draw from sometimes that's the same with act you have to just rely on your base|I don't really have much to draw from sometimes that's the same with after you have to fix it will lie on your back|
mix5_original_2|I keep it on just on a bookshelf nowhere it ya know where I was in the bathroom for like a week just so I could say I did that|I keep it just on a bookshelf, nowhere, nowhere I was in the bathroom for like a week, just so I could say I did that.|i keep it ah just on a bookshelf nowhere yeah nowhere i was in the bathroom for like a week just like to say i did that|I keep it on the bookshelf hour like a week just so I could say I did that|
mix6_original_1|the vehicle a comfortable and is very blurry and that was hard but that was in the hottest part hardest part was not able|very uncomfortable and it's very blurry and that was hard but that wasn't the hardest part, the hardest part was not able to.|very conf unconfortable and is very blurry and that was hot but that wasn't the hottest part hottest part was not able to|very comfortable and it's very blurry that was hard but that wasn't a hotspot hardest part was not able to|
mix6_original_2|honor these type of men that do this every day they put themselves In Harm's Way that's what this movie|These type of men that do this every day, they put themselves in harm's way, that's what this movie is.|this type of men that do this every day that put themselves in harms ah way that's what this movie|honor these type of men that do this every day they put themselves In Harm's Way that's what this movie|
mix7_original_1|incredibly generous I think it was always hard for him because|Incredibly generous, I think it was always hard for him because.|incredibly generous i think it was always hard for him because|I'm trying to be generous I think it was always hard for him because|
mix7_original_2|dude age and I were living in Richmond at the time and I had|Did a and I were living in Richmond at the time and I had.|did uh [unintelligible] and i were were living in richmond at the time and i had uh|and I were living in Richmond that was timing I had|
mix8_original_1|I know but I am I learned from my mistakes and now I'm going to write and direct and|I know but I I learn from my mistakes and now I'm going to write and direct and stuff.|no but i've i have made i learn from my mistakes and now i'm going to write and direct and|I know but I'm a I'm a manager now I'm going to ride with Riley I'd react|
mix8_original_2|they weren't it wasn't so much the script it was the idea writers were really idea|They weren't it wasn't so much the script, it was the idea our writers were really idea man.|there weren't it wasn't so much the script it was the idea ah writers were really idea men|because they were so much this case it was the idea to editors were really idea|
mix9_original_1|my sweet love to you what I wouldn't give for just one night with you nothing too weird just a nice knot with|Gloss Sweet Love to You What I wouldn't give for just one night with you. Nothing too weird. Just a nice night with.|gloss sweet love to you what i wouldn't give for just one night with you nothing too weird just a nice night with a|but we love to yeah what I wouldn't give for just one night with you not to do weird Justin I said weird|
mix9_original_2|anybody thought it was going to do it it's done but actors are always kind of naive to that and they always think that everything they do is going to last|Anybody thought it was going to do what it's done, but actors are always kind of naive to that and they always think that everything they do is gonna last.|anybody thought what's gonna do is done but uh actors are always kind of naive to that and they always think everything they do is gonna last|everybody thought it was going to do what it's done but actors are always kind of naive to that they always think that everything we do is going to last|
mix10_original_1|definitely not challenges I mean when I realized that my|definitely not challenges, I mean when I realized that my daughter.|[unintelligible] no challenges i mean when i realize ah that my dog|we not challenges I mean when I realize that my|
mix10_original_2|I think about having Jason and Rebecca is those conversations about how those characters|Thing about having Jason and Rebecca is those conversations about how those characters.|thinking about having [unintelligible] those conversations about how those characters|thing about having Jason and refectory those conversations about how those characters|
mix11_original_1|the character so much and respect with James Morrison did with the role and so I think you know all of us have this in common we look up to the people who play|The character so much in respect what James Morrison did with the role. And so I think, you know, all of us have this in common. We we look up to the people who played.|so the character so much in respect with james marsden with the role and so i think bo you know all of this have this in common we we've look at the people who play|cared for so much more respect with James Morrison's it with the role and so I think both of you know all of us have this in common we judge we look up to the people who play|
mix11_original_2|placated number that very very clearly after because I remember thinking you'd have to give all your energy to SeaWorld but yeah there's a Time|I remember that very, very clearly because I remember thinking you have to give all your energy to see wall um But yeah, there's a.|i remember that for a [unintelligible] because i remember think you've to give all your energy to see wa ah but yeah there's a|so remember that very very clearly has to be true I remember think he'd have to give all your energy to table and but yeah there's no telling the truth|
mix12_original_1|I haven't totally personally but I'm definitely I think more aware|I haven't totally personally, but I'm definitely I think more aware.|i haven't totally personally but i am definitively more aware|I haven't totally personally but I'm definitely Ethel more aware|
mix12_original_2|mikkel roskam was attached to it too and I always loved|For Michael Roskam was attached to it too, and I always loved it.|[unintelligible] ross was attach to it too and i always love it|Amica I haven't asked a question to things and I always loved|
mix13_original_1|they put together a big stunt real one year after maybe season three of Star Trek and what the|They put together a big stunt reel when you're after maybe season three of Star Trek and What this?|they put together a a big stone real one year a a after maybe season three of of star trek and what the|they put together a big stunt real one year after maybe season three of Star Trek and what the|
